,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
41,1211K35800,1LL012155000,328,443,27.5,SS400,ZA4D6100,1169,12880,264,70,0.254,923,848,21.7,3.771,3.226,0.16,0.18,0.37,0.037,0.001,0,0.002,0.02,0.03,0.07,0.01,0.011,0.0062,0.241,0.570166667,75
42,1211K37800,1LL012155500,364,463,26,SS400,ZA4D6100,1176,12831,264,70,0.254,923,840,21.7,3.771,3.226,0.15,0.2,0.36,0.02,0.001,0,0.002,0.02,0.03,0.05,0.01,0.017,0.004,0.225333333,0.549833333,83
43,1211K39800,1LL012155600,358,460,27,SS400,ZA4D6100,1170,12806,264,70,0.254,922,838,21.7,3.771,3.226,0.15,0.2,0.36,0.02,0.001,0,0.002,0.02,0.03,0.05,0.01,0.017,0.004,0.225333333,0.549833333,84
44,1211K44800,1LL012155700,356,462,25.5,SS400,ZA4D6100,1185,13183,264,70,0.254,937,821,21.7,3.771,3.226,0.15,0.2,0.36,0.02,0.001,0,0.002,0.02,0.03,0.05,0.01,0.017,0.004,0.225333333,0.549833333,116
45,1211K49800,1LL012155800,347,453,26.5,SS400,ZA4D6100,1149.5,13110,264,69.99,0.255,943,838,22.14,3.772,3.161,0.15,0.2,0.36,0.02,0.001,0,0.002,0.02,0.03,0.05,0.01,0.017,0.004,0.225333333,0.549833333,105
46,1211K52700,1LL012156300,337,451,26.5,SS400,ZA4D6100,1149.5,13039,264,60,0.326,944,843,20.14,4.4,2.979,0.16,0.19,0.35,0.02,0,0,0.003,0.02,0.04,0.03,0.01,0.012,0.0021,0.230333333,0.5585,101
47,1211K55800,1LL012156400,375,456,26,SS400,ZA4D6100,1182,13244,264,70,0.253,968,842,21.7,3.771,3.226,0.16,0.19,0.35,0.02,0,0,0.003,0.02,0.04,0.03,0.01,0.012,0.0021,0.230333333,0.5585,126
48,1211K59800,1LL012156500,340,451,26.5,SS400,ZA4D6100,1191,13380,264,70,0.255,970,843,21.7,3.771,3.226,0.16,0.19,0.35,0.02,0,0,0.003,0.02,0.04,0.03,0.01,0.012,0.0021,0.230333333,0.5585,127
49,1211K63800,1LL012156600,335,454,26,SS400,ZA4D6100,1187,13061,264,70,0.256,972,847,21.7,3.771,3.226,0.16,0.19,0.35,0.02,0,0,0.003,0.02,0.04,0.03,0.01,0.012,0.0021,0.230333333,0.5585,125
50,1211K83800,1LL012157100,359,456,28,SS400,ZA4D6100,1190,12677,264,79.99,0.215,966,836,21.7,3.3,3.686,0.16,0.17,0.34,0.042,0,0,0.004,0.03,0.03,0.03,0.01,0.014,0.0031,0.228666667,0.537833333,130
