,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
383,1326M98400,1LL025272000,322,446,48,AB/A,ZF4H6100,1177,19102,264,60,0.311,1068,852,11.2,4.4,5.357,0.16,0.1,0.53,0.03,0,0,0.001,0.02,0.03,0.04,0.01,0.017,0.0038,0.261666667,0.726,216
384,1326M99500,1LL025272100,335,446,40,AB/A,ZF4H6100,1180,18931,264,60,0.294,1041,838,11.2,4.4,5.357,0.16,0.1,0.53,0.03,0,0,0.001,0.02,0.03,0.04,0.01,0.017,0.0038,0.261666667,0.726,203
385,1324K80300,1LL025272500,323,449,39,AB/A,ZF4H6100,1204,11608,264,70,0.26,1044,839,12.7,3.771,5.512,0.16,0.12,0.52,0.038,0,0,0.002,0.02,0.04,0.03,0,0.015,0.0112,0.256666667,0.7255,205
386,1324K81500,1LL025272900,340,464,31.5,AB/A,ZF4H6100,1202,11663,264,70,0.311,1053,813,12.2,3.771,5.738,0.18,0.1,0.52,0.031,0,0,0.002,0.02,0.03,0.04,0,0.018,0.0056,0.278,0.735333333,240
387,1324K81500,1LL025273000,346,462,30,AB/A,ZF4H6100,1202,11663,264,70,0.311,1053,813,12.2,3.771,5.738,0.18,0.1,0.52,0.031,0,0,0.002,0.02,0.03,0.04,0,0.018,0.0056,0.278,0.735333333,240
388,1326M85400,1LL025273400,358,461,33.5,AB/A,ZF4H6100,1216,12768,264,70,0.257,1043,842,13.2,3.771,5.303,0.17,0.11,0.52,0.031,0,0,0.002,0.02,0.03,0.05,0.01,0.023,0.0039,0.272,0.726833333,201
389,1326M90600,1LL025273500,332,460,35.5,AB/A,ZF4H6100,1215,12840,264,69.99,0.296,1003,839,14.2,3.772,4.929,0.17,0.11,0.52,0.031,0,0,0.002,0.02,0.03,0.05,0.01,0.023,0.0039,0.272,0.726833333,164
390,1326N02300,1LL025273800,320,441,42,AB/A,ZF4H6100,1192,19188,264,60,0.326,981,839,14.2,4.4,4.225,0.16,0.11,0.53,0.035,0,0,0.001,0.02,0.03,0.05,0.01,0.018,0.0031,0.263666667,0.726833333,142
391,1326N05300,1LL025273900,328,443,37,AB/A,ZF4H6100,1197,19254,264,60,0.326,986,843,14.2,4.4,4.225,0.16,0.11,0.53,0.035,0,0,0.001,0.02,0.03,0.05,0.01,0.018,0.0031,0.263666667,0.726833333,143
392,1326N08400,1LL025274000,345,467,42.5,AB/A,ZF4H6100,1168,18906,264,70,0.243,994,808,14.2,3.771,4.93,0.16,0.11,0.53,0.035,0,0,0.001,0.02,0.03,0.05,0.01,0.018,0.0031,0.263666667,0.726833333,186
